MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal,rooms_per_household,bedrooms_per_room,population_per_household
8.3252,41.0,6.984126984126984,1.0238095238095237,322.0,2.5555555555555554,37.88,-122.23,4.526,2.7329181852556172,0.1465908881017592,125.99995069567147
8.3014,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,37.86,-122.22,3.585,2.956683313325443,0.15579656609431017,1137.9994606233292
7.2574,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24,3.521,2.9576602348672147,0.129516003459896,176.99993683671607
5.6431,52.0,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25,3.413,2.283153225787533,0.18445836703580662,218.99991404842083
3.8462,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,3.422,2.879644697649599,0.1720958545956814,258.99988127262077
4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,2.697,2.225180558208601,0.23177361835439786,192.99990980875884
3.6591,52.0,4.9319066147859925,0.9513618677042801,1094.0,2.1284046692607004,37.84,-122.25,2.992,2.3171835548150392,0.19289936917148884,513.9997585046838
3.12,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,2.414,2.682798845487595,0.22132727345401224,646.9996381946709
2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,2.267,2.1185727524454494,0.2602739119910068,594.9997064470768
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25,2.611,2.2882001071728713,0.1992110052869378,713.9996713115634
3.2031,52.0,5.477611940298507,1.0796019900497513,910.0,2.263681592039801,37.85,-122.26,2.815,2.4197791508228366,0.19709351533533465,401.9998224132653
3.2705,52.0,4.772479564032698,1.0245231607629428,1504.0,2.0490463215258856,37.85,-122.26,2.418,2.329121203740051,0.2146730923294177,733.9996417847492
3.075,52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463,37.85,-122.26,2.135,2.2686693426800977,0.1902849903438878,467.99980052467515
2.6736,52.0,4.0,1.0977011494252873,345.0,1.9827586206896552,37.84,-122.26,1.913,2.0173902868814206,0.27442521875001713,173.99991224352252
1.9167,52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774194,37.85,-122.26,1.592,2.1806919537714426,0.23685200648950286,619.9996828384461
2.125,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,37.85,-122.26,1.4,1.606886048467838,0.2526785118686365,263.99990000577674
2.775,52.0,5.9395770392749245,1.0483383685800605,793.0,2.395770392749245,37.85,-122.27,1.525,2.4791919033890033,0.1765004789309977,330.9998618399063
2.1202,52.0,4.052805280528053,0.966996699669967,648.0,2.1386138613861387,37.85,-122.27,1.555,1.895060842278649,0.23859928966157595,302.9998583195107
1.9911,50.0,5.343675417661098,1.0859188544152745,990.0,2.3627684964200477,37.84,-122.26,1.587,2.261615204427504,0.20321568327495698,418.9998226657316
2.6033,52.0,5.465454545454546,1.0836363636363637,690.0,2.5090909090909093,37.84,-122.27,1.629,2.1782600014181153,0.19827009013687638,274.99989039859435
1.3578,40.0,4.524096385542169,1.108433734939759,409.0,2.463855421686747,37.85,-122.27,1.475,1.836185073822195,0.24500660363369345,165.9999326259442
1.7135,42.0,4.478142076502732,1.0027322404371584,929.0,2.5382513661202184,37.85,-122.27,1.598,1.7642619529387784,0.2239169725725369,365.9998558063001
1.725,52.0,5.096234309623431,1.1317991631799162,1015.0,2.1234309623430963,37.84,-122.27,1.139,2.3999988697542265,0.2220853423001668,477.9997748927168
2.1806,52.0,5.193846153846154,1.0369230769230768,853.0,2.624615384615385,37.84,-122.27,0.997,1.9788972530579048,0.19964451132436833,324.9998761723801
2.6,52.0,5.270142180094787,1.0355450236966826,1006.0,2.3838862559241707,37.84,-122.27,1.326,2.210734659115282,0.19649276847124628,421.99982297820543
2.4038,41.0,4.495798319327731,1.0336134453781514,317.0,2.6638655462184873,37.85,-122.28,1.075,1.6876965273315876,0.2299064909179955,118.99995532809248
2.4597,49.0,4.7280334728033475,1.0209205020920502,607.0,2.5397489539748954,37.85,-122.28,0.938,1.8616137645375788,0.21592915786985067,238.99990589624792
1.808,52.0,4.7808564231738035,1.0604534005037782,1102.0,2.7758186397984885,37.85,-122.28,1.055,1.722322428528127,0.2218123877452487,396.9998569791804
1.6424,50.0,4.40169133192389,1.040169133192389,1131.0,2.3911205073995774,37.84,-122.28,1.089,1.840848036497682,0.2363111855066327,472.99980218487485
1.6875,52.0,4.703225806451613,1.032258064516129,395.0,2.5483870967741935,37.84,-122.28,1.32,1.845568896042585,0.21947869133169112,154.99993917723904
1.9274,49.0,5.068783068783069,1.1825396825396826,863.0,2.2830687830687832,37.84,-122.28,1.223,2.2201612523511547,0.2332984925956001,377.99983443344445
1.9615,52.0,4.882086167800454,1.090702947845805,1168.0,2.6485260770975056,37.84,-122.28,1.152,1.8433212218282031,0.22340915070904066,440.99983349235737
1.7969,48.0,5.737313432835821,1.2208955223880598,1026.0,3.062686567164179,37.84,-122.27,1.104,1.8732937353280688,0.21279913044343982,334.9998906189441
1.375,49.0,5.0303951367781155,1.1124620060790273,754.0,2.291793313069909,37.83,-122.27,1.049,2.194959254454118,0.2211479922914263,328.9998564443597
2.7303,51.0,4.972014925373134,1.0708955223880596,1258.0,2.3470149253731343,37.83,-122.27,1.097,2.1184410687723267,0.21538457206524178,535.9997716248986
1.4861,49.0,4.6022727272727275,1.0681818181818181,570.0,2.159090909090909,37.83,-122.27,0.972,2.1315779601112603,0.232098715000773,263.9998777263724
1.0972,48.0,4.807486631016043,1.1550802139037433,987.0,2.6390374331550803,37.83,-122.27,1.045,1.8216811739526249,0.2402669133148912,373.99985828171526
1.4103,52.0,3.7493796526054592,0.967741935483871,901.0,2.235732009925558,37.83,-122.28,1.039,1.6770247770910265,0.25810714492575815,402.99981974591856
3.48,52.0,4.757281553398058,1.0679611650485437,689.0,2.2297734627831716,37.83,-122.26,1.914,2.133525893672712,0.2244897487297059,308.99986142096196
2.5898,52.0,3.4942528735632186,1.0272988505747127,1377.0,1.978448275862069,37.83,-122.26,1.76,1.7661574224796182,0.2939966263891234,695.9996482093281
2.0978,52.0,4.215189873417722,1.0607594936708862,946.0,2.3949367088607594,37.83,-122.26,1.554,1.760041548397028,0.2516515919505232,394.99983506877925
1.2852,51.0,3.7590361445783134,1.248995983935743,517.0,2.076305220883534,37.83,-122.26,1.5,1.8104440023200066,0.3322648688739825,248.99988007549294
1.025,49.0,3.7724867724867726,1.0687830687830688,462.0,2.4444444444444446,37.84,-122.26,1.188,1.5432894119443745,0.2833098828252905,188.9999226818498
3.9643,52.0,4.797979797979798,1.02020202020202,467.0,2.3585858585858586,37.84,-122.26,1.888,2.0342603794784684,0.21263153463048015,197.99991605142745
3.0125,52.0,4.941780821917808,1.0650684931506849,660.0,2.26027397260274,37.83,-122.26,1.844,2.1863626690637883,0.21552317191076492,291.99987081217836
2.6768,52.0,4.335078534031414,1.0994764397905759,718.0,1.8795811518324608,37.83,-122.26,1.823,2.306405458151971,0.25362312990094465,381.99979676333936
